,Vendor,Type_of_Spend,Brand,PO_Number,PO_Amount,Invoice_Amount,Difference,Date_Opened
1137,Pinterest Inc,Influencer,Space Wars,80287357,146979,55034,91945,2022-12-26
2325,TikTok Inc,Brand Publicity,Space Wars,81860337,146932,94881,52051,2022-12-18
954,TikTok Inc,Influencer,GI-Bro,77110074,146891,25135,121756,2022-12-11
1057,TikTok Inc,Brand Publicity,Space Wars,26191661,146688,89628,57060,2022-12-01
2974,Disney Studios,Media Supported Asset,Clay-Dough,40740356,146652,3418,143234,2022-10-21
3527,KYG Antler LLC,Media Supported Asset,Clay-Dough,58002557,146641,11950,134691,2022-10-13
524,The Martingale Agency,Brand Asset Development,Space Wars,78091562,146515,67093,79422,2022-12-03
3489,Google Inc.,E-Commerce,Merf,31571598,146468,52678,93790,2022-12-04
4346,Pinterest Inc,E-Commerce,Transmorphers,84217060,146343,68358,77985,2022-11-01
2641,Nintendo Technologies,Brand Publicity,Merf,86684455,146312,48079,98233,2022-11-22
4674,Google Inc.,E-Commerce,Transmorphers,73640465,146299,89706,56593,2022-11-30
1175,KYG Antler LLC,Brand Asset Development,GI-Bro,88302576,146237,4765,141472,2022-12-14
3632,Meta Platforms,Influencer,Clay-Dough,74695558,146217,26524,119693,2022-11-28
677,TikTok Inc,Brand Asset Development,Transmorphers,31471417,146123,95510,50613,2022-10-25
2053,Disney Studios,Brand Asset Development,GI-Bro,13340203,146094,58364,87730,2022-10-29
1043,Meta Platforms,Brand Publicity,Clay-Dough,30743416,145901,3348,142553,2022-10-22
4662,TikTok Inc,Media Supported Asset,Space Wars,78082756,145882,45263,100619,2022-10-07
3059,KYG Antler LLC,Brand Publicity,Merf,97533430,145757,71290,74467,2022-11-13
2502,Google Inc.,Influencer,GI-Bro,71374302,145605,74783,70822,2022-12-13
3786,Disney Studios,E-Commerce,GI-Bro,23076469,145604,93710,51894,2022-12-01
3793,Pinterest Inc,Brand Asset Development,GI-Bro,37782637,145547,33494,112053,2022-12-19
2469,Google Inc.,Brand Asset Development,Transmorphers,12749144,145511,82130,63381,2022-12-18
1634,KYG Antler LLC,Influencer,Merf,72295744,145484,57146,88338,2022-11-27
638,Meta Platforms,Media Supported Asset,Clay-Dough,71333257,145473,41969,103504,2022-12-06
4120,Disney Studios,Brand Asset Development,Clay-Dough,95302630,145416,3241,142175,2022-11-18
2582,Nintendo Technologies,Influencer,Transmorphers,47553351,145332,17135,128197,2022-11-27
3162,TikTok Inc,E-Commerce,GI-Bro,42572895,145127,34658,110469,2022-11-07
4872,Pinterest Inc,E-Commerce,Merf,24211778,144797,41530,103267,2022-10-21
1054,The Martingale Agency,E-Commerce,Transmorphers,23395927,144754,79095,65659,2022-10-02
3604,Google Inc.,E-Commerce,Clay-Dough,81803904,144590,80176,64414,2022-12-07
4318,Disney Studios,E-Commerce,Clay-Dough,99152342,144577,25814,118763,2022-11-21
917,Pinterest Inc,Influencer,Clay-Dough,98370312,144487,73909,70578,2022-10-30
4254,TikTok Inc,Brand Publicity,Space Wars,77136762,144342,72460,71882,2022-10-12
2402,Disney Studios,Influencer,Merf,39891428,144230,70084,74146,2022-10-24
4367,The Martingale Agency,Brand Asset Development,Space Wars,74118796,144213,78773,65440,2022-12-07
500,Disney Studios,Brand Asset Development,Clay-Dough,41901307,144209,76340,67869,2022-12-27
2371,The Martingale Agency,Influencer,GI-Bro,82784375,144146,20383,123763,2022-11-21
2785,Nintendo Technologies,E-Commerce,Merf,93286590,144084,90641,53443,2022-11-08
3696,TikTok Inc,Brand Publicity,Space Wars,96899271,144027,3843,140184,2022-12-26
4220,KYG Antler LLC,Media Supported Asset,Space Wars,31357037,143584,59275,84309,2022-12-02
3912,KYG Antler LLC,Influencer,Clay-Dough,36218023,143457,1716,141741,2022-11-14
2042,Disney Studios,Media Supported Asset,Space Wars,60823282,143407,14026,129381,2022-12-27
1134,Disney Studios,Influencer,Space Wars,76363168,143346,68130,75216,2022-11-28
2414,Nintendo Technologies,Media Supported Asset,Space Wars,60342686,143335,34054,109281,2022-11-03
2271,The Martingale Agency,Brand Asset Development,Transmorphers,39038943,143303,76668,66635,2022-12-09
3395,Disney Studios,Influencer,Space Wars,10478000,143074,18225,124849,2022-10-20
3200,Meta Platforms,Brand Publicity,Transmorphers,75654555,142969,33355,109614,2022-11-03
66,Pinterest Inc,Brand Asset Development,Space Wars,42808007,142920,19333,123587,2022-12-02
3463,Nintendo Technologies,E-Commerce,Merf,80784863,142913,15326,127587,2022-11-23
2709,Nintendo Technologies,Media Supported Asset,GI-Bro,35212875,142720,5002,137718,2022-11-27
2708,TikTok Inc,Influencer,Merf,59582245,142633,41132,101501,2022-11-26
745,The Martingale Agency,Influencer,Merf,40500491,142602,84748,57854,2022-11-10
2124,KYG Antler LLC,E-Commerce,Transmorphers,16353281,142547,56357,86190,2022-12-29
2044,The Martingale Agency,Media Supported Asset,Clay-Dough,35648508,142534,53187,89347,2022-10-05
4530,TikTok Inc,Influencer,Transmorphers,41125214,142475,80550,61925,2022-12-12
1699,Nintendo Technologies,E-Commerce,GI-Bro,97128524,142394,64745,77649,2022-10-02
713,KYG Antler LLC,Media Supported Asset,Transmorphers,52382852,142325,29062,113263,2022-10-28
3657,Disney Studios,Brand Publicity,GI-Bro,89815020,142209,12052,130157,2022-12-12
358,Google Inc.,E-Commerce,Transmorphers,18813854,142195,39869,102326,2022-12-28
3812,Google Inc.,E-Commerce,Merf,38213498,142121,35736,106385,2022-10-14
2226,Pinterest Inc,Brand Asset Development,Space Wars,89558344,142064,26487,115577,2022-10-06
1339,Disney Studios,Media Supported Asset,GI-Bro,98816795,142039,88455,53584,2022-11-21
2101,Pinterest Inc,Brand Publicity,Merf,54811219,141888,47457,94431,2022-10-06
1853,Google Inc.,Brand Asset Development,Transmorphers,94785578,141637,24440,117197,2022-12-20
175,Pinterest Inc,Media Supported Asset,GI-Bro,41780747,141523,8599,132924,2022-11-23
4757,Google Inc.,Brand Asset Development,GI-Bro,23702057,141480,85285,56195,2022-11-20
2511,Nintendo Technologies,Brand Publicity,GI-Bro,91423641,141317,7400,133917,2022-10-28
889,The Martingale Agency,Influencer,Space Wars,10493000,141305,39668,101637,2022-10-13
4350,TikTok Inc,Media Supported Asset,Merf,26780981,141263,59610,81653,2022-11-21
2129,Disney Studios,Brand Publicity,Clay-Dough,12572674,141241,63088,78153,2022-11-05
952,TikTok Inc,Influencer,Space Wars,50602657,141190,75646,65544,2022-11-29
1035,Nintendo Technologies,Brand Asset Development,Transmorphers,90597652,141098,62628,78470,2022-12-11
3814,The Martingale Agency,Brand Publicity,GI-Bro,39647997,141049,19181,121868,2022-10-17
3144,The Martingale Agency,Brand Asset Development,Clay-Dough,18140511,141025,35645,105380,2022-10-05
4401,Google Inc.,E-Commerce,Merf,34480420,141021,42279,98742,2022-12-15
172,TikTok Inc,Brand Publicity,Merf,48327221,140985,58636,82349,2022-11-24
3824,Nintendo Technologies,E-Commerce,Clay-Dough,75820324,140973,68730,72243,2022-11-04
684,KYG Antler LLC,Media Supported Asset,Merf,68480198,140747,10128,130619,2022-10-20
2276,Nintendo Technologies,E-Commerce,GI-Bro,23927679,140674,13044,127630,2022-10-13
2898,Nintendo Technologies,E-Commerce,Transmorphers,38308730,140563,51315,89248,2022-12-28
3776,Nintendo Technologies,Brand Asset Development,Space Wars,13665345,140308,5875,134433,2022-11-14
3032,Nintendo Technologies,Influencer,GI-Bro,98777108,140221,87736,52485,2022-10-19
3,Pinterest Inc,Influencer,Space Wars,46632212,140180,84598,55582,2022-11-07
622,Pinterest Inc,Brand Publicity,Transmorphers,67667534,140179,16988,123191,2022-11-03
1131,Pinterest Inc,Media Supported Asset,Transmorphers,66221920,140070,59071,80999,2022-12-29
2547,Pinterest Inc,Brand Asset Development,Clay-Dough,98715961,139889,79170,60719,2022-10-20
2125,Pinterest Inc,Media Supported Asset,GI-Bro,32865182,139859,29765,110094,2022-10-18
844,Pinterest Inc,Brand Asset Development,Space Wars,74288678,139833,40534,99299,2022-10-11
1811,Disney Studios,Brand Publicity,Space Wars,38239700,139808,6554,133254,2022-11-10
2349,The Martingale Agency,E-Commerce,Clay-Dough,77585029,139709,19100,120609,2022-11-23
3731,Pinterest Inc,Brand Publicity,Merf,41385760,139705,36710,102995,2022-10-20
1073,Google Inc.,Influencer,Transmorphers,51921549,139456,87165,52291,2022-10-06
551,Nintendo Technologies,Brand Publicity,GI-Bro,10197718,139414,31551,107863,2022-10-10
3674,Disney Studios,Media Supported Asset,Transmorphers,32871839,139412,53548,85864,2022-12-08
2745,Google Inc.,Media Supported Asset,Space Wars,57706957,139254,26168,113086,2022-12-24
2328,The Martingale Agency,E-Commerce,Merf,95598087,139202,57028,82174,2022-11-01
2532,Nintendo Technologies,E-Commerce,Space Wars,51645397,138957,32764,106193,2022-11-10
1980,Google Inc.,Brand Asset Development,Merf,55022230,138885,55006,83879,2022-12-22
4084,Nintendo Technologies,E-Commerce,Space Wars,36137626,138879,87660,51219,2022-11-17
428,Nintendo Technologies,Influencer,Transmorphers,19537916,138837,87700,51137,2022-10-14
4243,KYG Antler LLC,Brand Asset Development,Space Wars,61228284,138788,69990,68798,2022-12-11
2069,Google Inc.,Influencer,Transmorphers,90749591,138715,71006,67709,2022-11-22
4038,TikTok Inc,Brand Publicity,Merf,85786937,138645,8882,129763,2022-12-15
1294,KYG Antler LLC,Influencer,Space Wars,97824740,138635,39402,99233,2022-12-22
3500,Nintendo Technologies,Influencer,Transmorphers,84672051,138621,41416,97205,2022-10-06
4601,Pinterest Inc,Influencer,Clay-Dough,70380924,138551,61952,76599,2022-12-27
4360,The Martingale Agency,Influencer,Merf,22754768,138468,41904,96564,2022-10-15
2630,TikTok Inc,Influencer,Clay-Dough,87219282,138332,1258,137074,2022-11-11
3174,Google Inc.,E-Commerce,GI-Bro,43540512,138297,26869,111428,2022-12-05
4315,The Martingale Agency,Influencer,Clay-Dough,41594147,138271,29077,109194,2022-10-02
907,Nintendo Technologies,Brand Asset Development,Clay-Dough,45617354,138260,5169,133091,2022-11-04
1940,Google Inc.,Influencer,GI-Bro,65211378,138157,78219,59938,2022-11-26
1781,TikTok Inc,Media Supported Asset,Clay-Dough,59234990,138120,51053,87067,2022-10-05
2902,KYG Antler LLC,Media Supported Asset,Merf,76935376,138043,11505,126538,2022-11-10
1758,The Martingale Agency,Brand Asset Development,Space Wars,99085809,138018,34136,103882,2022-12-28
2779,Google Inc.,Brand Asset Development,Transmorphers,85135052,137949,82883,55066,2022-10-09
1633,Pinterest Inc,Brand Asset Development,Space Wars,95732646,137806,26330,111476,2022-10-26
1099,Google Inc.,Brand Asset Development,GI-Bro,30926671,137767,45068,92699,2022-11-09
1937,Meta Platforms,Brand Publicity,GI-Bro,74539861,137750,7664,130086,2022-10-22
1901,Disney Studios,Influencer,GI-Bro,28995291,137668,21256,116412,2022-12-19
3600,Nintendo Technologies,Brand Publicity,Space Wars,65852189,137492,26469,111023,2022-11-04
2310,Meta Platforms,Influencer,Merf,19072415,137472,66776,70696,2022-10-20
514,Google Inc.,E-Commerce,Merf,12127040,137382,81530,55852,2022-10-09
100,Pinterest Inc,Brand Publicity,Merf,48588004,137312,43838,93474,2022-12-02
1783,Disney Studios,Influencer,Merf,60318129,137280,82668,54612,2022-11-14
4078,TikTok Inc,Media Supported Asset,Space Wars,24585780,137262,29291,107971,2022-10-18
749,The Martingale Agency,Media Supported Asset,Merf,18163518,137128,49379,87749,2022-11-24
4344,Nintendo Technologies,Influencer,Space Wars,60610485,136909,81827,55082,2022-12-27
2943,The Martingale Agency,Influencer,Space Wars,44140764,136876,39141,97735,2022-10-03
1998,Google Inc.,Brand Asset Development,Space Wars,84500121,136875,69985,66890,2022-11-25
1682,KYG Antler LLC,Brand Publicity,Space Wars,59750777,136683,3912,132771,2022-10-25
2560,Pinterest Inc,Brand Publicity,Transmorphers,33343338,136573,3397,133176,2022-10-03
3183,TikTok Inc,Brand Publicity,Transmorphers,33430741,136302,81813,54489,2022-12-23
4976,The Martingale Agency,E-Commerce,Space Wars,62995322,136163,45382,90781,2022-10-21
2513,The Martingale Agency,Media Supported Asset,Transmorphers,46495636,136077,48219,87858,2022-11-23
2814,Disney Studios,Brand Asset Development,Clay-Dough,63807824,136067,58830,77237,2022-11-29
2138,Nintendo Technologies,Influencer,Transmorphers,42627533,135993,22590,113403,2022-11-23
2537,KYG Antler LLC,Brand Asset Development,Transmorphers,47826049,135907,72644,63263,2022-10-30
1302,Disney Studios,E-Commerce,Merf,24617166,135692,83557,52135,2022-10-24
2751,The Martingale Agency,Media Supported Asset,Merf,33200469,135575,2161,133414,2022-11-14
3840,Pinterest Inc,Media Supported Asset,Merf,62602265,135562,6876,128686,2022-10-04
117,The Martingale Agency,Brand Publicity,GI-Bro,40182699,135504,52464,83040,2022-11-16
2699,Pinterest Inc,E-Commerce,Transmorphers,85809946,135436,73795,61641,2022-10-01
883,Meta Platforms,E-Commerce,GI-Bro,75776197,135417,65891,69526,2022-10-30
2181,Meta Platforms,Media Supported Asset,Clay-Dough,60330343,135373,83058,52315,2022-12-01
4528,Pinterest Inc,Brand Asset Development,Space Wars,29132436,135358,74255,61103,2022-12-16
4559,Disney Studios,Brand Asset Development,GI-Bro,91130801,135355,30693,104662,2022-10-17
4230,Meta Platforms,Media Supported Asset,Transmorphers,13587727,135349,27144,108205,2022-11-23
2595,TikTok Inc,Media Supported Asset,GI-Bro,39436762,135161,63739,71422,2022-10-04
1000,Nintendo Technologies,Media Supported Asset,Merf,67971003,134991,55527,79464,2022-11-29
1080,Pinterest Inc,Media Supported Asset,GI-Bro,67876675,134968,10549,124419,2022-12-12
2307,Google Inc.,E-Commerce,Merf,14290603,134897,45816,89081,2022-12-01
539,KYG Antler LLC,E-Commerce,GI-Bro,62321813,134784,73585,61199,2022-12-09
3110,KYG Antler LLC,E-Commerce,GI-Bro,49463016,134650,53975,80675,2022-10-12
4357,Meta Platforms,Brand Asset Development,Clay-Dough,63155699,134623,79910,54713,2022-11-02
3292,Disney Studios,E-Commerce,Merf,15729700,134497,23524,110973,2022-10-19
930,Google Inc.,Brand Asset Development,GI-Bro,86442187,134459,6463,127996,2022-10-20
2482,Pinterest Inc,Influencer,GI-Bro,92692599,134451,76319,58132,2022-11-05
98,Meta Platforms,Brand Asset Development,GI-Bro,14134399,134448,3727,130721,2022-10-29
3875,TikTok Inc,E-Commerce,Clay-Dough,26400632,134371,66290,68081,2022-12-15
4869,Pinterest Inc,Brand Asset Development,Merf,95965958,134336,67658,66678,2022-11-27
4176,Google Inc.,Brand Publicity,Transmorphers,29950733,134322,71287,63035,2022-11-26
2788,TikTok Inc,Brand Publicity,Transmorphers,75583090,134319,31282,103037,2022-11-06
4000,The Martingale Agency,Influencer,Clay-Dough,19147763,134304,20810,113494,2022-11-09
3577,Google Inc.,Media Supported Asset,Transmorphers,72074328,134266,9443,124823,2022-11-05
4286,Disney Studios,Influencer,GI-Bro,93139240,134193,9823,124370,2022-10-24
541,KYG Antler LLC,Influencer,Transmorphers,39967238,134057,25084,108973,2022-10-10
4589,Google Inc.,Media Supported Asset,Clay-Dough,54746198,134040,57977,76063,2022-12-29
2680,Pinterest Inc,Brand Publicity,Transmorphers,12793637,133830,51675,82155,2022-12-20
4041,Google Inc.,E-Commerce,Transmorphers,72844977,133618,50412,83206,2022-10-14
3099,Disney Studios,E-Commerce,Space Wars,32089503,133493,14179,119314,2022-11-06
2958,Pinterest Inc,Influencer,GI-Bro,68803952,133453,11846,121607,2022-12-05
672,Google Inc.,Influencer,Merf,34842294,133219,26931,106288,2022-12-05
1045,TikTok Inc,Influencer,Transmorphers,70525055,133161,45453,87708,2022-10-11
4628,The Martingale Agency,Brand Asset Development,Transmorphers,97231429,133105,10614,122491,2022-11-17
3792,Google Inc.,Media Supported Asset,GI-Bro,67915752,133055,22411,110644,2022-12-29
3454,Nintendo Technologies,Brand Publicity,Clay-Dough,54244827,133042,77691,55351,2022-11-05
3982,Meta Platforms,Influencer,Clay-Dough,49079290,133008,1793,131215,2022-12-27
4371,Disney Studios,Media Supported Asset,Space Wars,99114454,132970,38262,94708,2022-10-15
3341,Pinterest Inc,Influencer,Clay-Dough,52473785,132948,50584,82364,2022-11-15
3142,Pinterest Inc,Brand Asset Development,Space Wars,60780211,132799,67292,65507,2022-10-23
313,Disney Studios,Media Supported Asset,Space Wars,96560787,132782,20509,112273,2022-12-27
1560,The Martingale Agency,Brand Publicity,Space Wars,96535691,132700,16949,115751,2022-11-17
4100,Google Inc.,E-Commerce,GI-Bro,91580637,132639,61896,70743,2022-12-01
2344,Nintendo Technologies,E-Commerce,Clay-Dough,38209297,132538,69299,63239,2022-11-07
3728,Nintendo Technologies,E-Commerce,Space Wars,46897700,132461,72236,60225,2022-12-20
4240,TikTok Inc,Brand Publicity,Space Wars,60238000,132243,11934,120309,2022-11-14
2996,KYG Antler LLC,Media Supported Asset,Space Wars,77939460,132208,42441,89767,2022-10-26
3965,KYG Antler LLC,Influencer,Merf,10725886,132202,76470,55732,2022-10-13
3746,KYG Antler LLC,E-Commerce,Merf,71106082,132192,14275,117917,2022-10-18
3264,KYG Antler LLC,Influencer,Space Wars,21610402,132173,3081,129092,2022-12-14
3354,KYG Antler LLC,Media Supported Asset,Clay-Dough,10272842,132116,27577,104539,2022-11-26
211,TikTok Inc,Influencer,GI-Bro,83690857,131947,51054,80893,2022-10-22
2960,TikTok Inc,Influencer,Transmorphers,15239785,131926,57729,74197,2022-12-02
80,Meta Platforms,Brand Publicity,Clay-Dough,57254829,131879,42155,89724,2022-10-13
2278,Disney Studios,E-Commerce,Space Wars,23177235,131588,21355,110233,2022-12-27
727,The Martingale Agency,Brand Publicity,Merf,17683273,131512,26971,104541,2022-10-06
1820,Google Inc.,E-Commerce,Merf,36973358,131476,63175,68301,2022-12-05
678,Disney Studios,Influencer,GI-Bro,77519629,131417,35704,95713,2022-10-30
3760,Pinterest Inc,Brand Publicity,Merf,25049435,131170,12415,118755,2022-11-29
2953,Meta Platforms,Brand Publicity,Clay-Dough,84261732,131152,67300,63852,2022-12-28
4211,KYG Antler LLC,Influencer,Space Wars,69501354,131152,72347,58805,2022-10-15
4841,Nintendo Technologies,Media Supported Asset,Clay-Dough,39742007,131145,10335,120810,2022-10-21
731,Google Inc.,Influencer,Transmorphers,22477802,131115,63235,67880,2022-11-02
3130,Disney Studios,Brand Asset Development,Merf,90859044,130944,23402,107542,2022-12-04
865,Google Inc.,Brand Asset Development,Space Wars,72410934,130874,10130,120744,2022-10-25
236,Meta Platforms,Influencer,Merf,61145005,130792,30584,100208,2022-10-14
3062,TikTok Inc,E-Commerce,Merf,52047797,130788,63429,67359,2022-11-30
2459,Nintendo Technologies,Brand Publicity,Space Wars,50736787,130786,10526,120260,2022-11-08
1371,Google Inc.,Brand Asset Development,Clay-Dough,68315958,130784,62196,68588,2022-11-24
3641,Nintendo Technologies,Influencer,Space Wars,48714532,130659,15288,115371,2022-11-02
1072,Google Inc.,Brand Publicity,Transmorphers,17738475,130641,9394,121247,2022-10-03
4133,Disney Studios,Media Supported Asset,Merf,75630721,130631,64927,65704,2022-10-30
2173,Meta Platforms,Influencer,Clay-Dough,15465431,130293,55934,74359,2022-11-16
4465,Disney Studios,Influencer,Clay-Dough,32489201,130226,172,130054,2022-10-20
4513,Disney Studios,E-Commerce,Space Wars,17475963,130218,46192,84026,2022-12-29
22,The Martingale Agency,Brand Asset Development,Space Wars,60153605,130205,53167,77038,2022-10-13
2411,Meta Platforms,Brand Publicity,GI-Bro,21266804,129945,51450,78495,2022-10-17
1164,KYG Antler LLC,Influencer,Space Wars,48179262,129731,6909,122822,2022-11-17
3548,The Martingale Agency,Brand Asset Development,Transmorphers,99422167,129718,17771,111947,2022-11-28
1444,Disney Studios,Influencer,Merf,35848308,129712,2404,127308,2022-10-28
2288,Pinterest Inc,Media Supported Asset,Transmorphers,60081332,129598,17154,112444,2022-11-08
2440,Disney Studios,Media Supported Asset,Transmorphers,62297047,129500,54139,75361,2022-11-18
709,KYG Antler LLC,Influencer,Merf,84905762,129251,1642,127609,2022-11-04
1685,TikTok Inc,Influencer,GI-Bro,33234967,129109,58781,70328,2022-12-04
980,Google Inc.,Influencer,Transmorphers,56894100,129099,14943,114156,2022-12-18
2326,Google Inc.,Brand Publicity,GI-Bro,92446241,129034,65817,63217,2022-10-31
1988,Google Inc.,Influencer,Merf,73767061,128987,70933,58054,2022-10-05
2358,Meta Platforms,Brand Publicity,Space Wars,67589938,128957,22045,106912,2022-12-29
312,KYG Antler LLC,E-Commerce,GI-Bro,70843447,128823,13836,114987,2022-11-17
194,Meta Platforms,Brand Asset Development,Transmorphers,93434504,128648,78077,50571,2022-10-13
4941,Nintendo Technologies,Influencer,Space Wars,55920523,128638,67072,61566,2022-12-08
323,KYG Antler LLC,Influencer,Merf,25995282,128614,78465,50149,2022-12-11
26,The Martingale Agency,Brand Asset Development,Transmorphers,60758548,128442,37112,91330,2022-11-22
4223,Pinterest Inc,Influencer,Merf,86019549,128420,61310,67110,2022-12-11
2780,Pinterest Inc,Brand Publicity,Space Wars,63265974,128398,53821,74577,2022-11-12
4023,Google Inc.,Brand Asset Development,Transmorphers,39462626,128392,26579,101813,2022-10-05
2571,The Martingale Agency,Influencer,Transmorphers,46038026,128366,50576,77790,2022-12-22
1964,Google Inc.,Influencer,Space Wars,34195553,128361,62233,66128,2022-12-23
1017,Google Inc.,Brand Publicity,Transmorphers,15215227,128316,57268,71048,2022-12-26
460,Nintendo Technologies,Influencer,Clay-Dough,58966619,128128,50943,77185,2022-12-13
3578,Nintendo Technologies,Media Supported Asset,Transmorphers,74877515,127936,77613,50323,2022-12-24
1667,Pinterest Inc,Brand Asset Development,Transmorphers,47866003,127670,17858,109812,2022-11-13
259,TikTok Inc,Media Supported Asset,Merf,50326731,127649,58331,69318,2022-12-14
2820,Pinterest Inc,Influencer,Space Wars,99799801,127608,38678,88930,2022-11-14
1872,Nintendo Technologies,Influencer,Space Wars,41528433,127582,13179,114403,2022-11-20
545,The Martingale Agency,Brand Asset Development,Transmorphers,60692999,127404,34606,92798,2022-11-29
4736,KYG Antler LLC,Influencer,Merf,77093560,127366,59150,68216,2022-11-26
1361,Nintendo Technologies,Influencer,Transmorphers,16117726,127276,66655,60621,2022-10-09
690,Nintendo Technologies,Influencer,Clay-Dough,46665188,127232,45419,81813,2022-12-09
4810,Pinterest Inc,Influencer,Clay-Dough,66723361,127140,51631,75509,2022-11-22
4848,Meta Platforms,Brand Asset Development,Clay-Dough,12149640,127137,42682,84455,2022-10-11
3138,Disney Studios,E-Commerce,Transmorphers,90168002,127115,41218,85897,2022-11-02
2135,Disney Studios,Influencer,Transmorphers,52934931,127100,69768,57332,2022-10-24
137,Nintendo Technologies,Media Supported Asset,Space Wars,62563796,126944,70277,56667,2022-11-05
3675,KYG Antler LLC,Brand Asset Development,GI-Bro,68518297,126935,25512,101423,2022-12-16
1023,Disney Studios,Brand Asset Development,Transmorphers,76091750,126893,27565,99328,2022-11-21
4711,Pinterest Inc,Brand Asset Development,GI-Bro,27012053,126883,76060,50823,2022-10-27
151,Meta Platforms,Media Supported Asset,Clay-Dough,73817401,126771,6659,120112,2022-10-03
1034,The Martingale Agency,E-Commerce,Transmorphers,64952937,126546,21323,105223,2022-12-18
3383,TikTok Inc,E-Commerce,Space Wars,67362528,126535,35265,91270,2022-11-28
3789,The Martingale Agency,Media Supported Asset,Clay-Dough,92543385,126414,12408,114006,2022-12-10
3539,Meta Platforms,Media Supported Asset,Clay-Dough,57121210,126380,39769,86611,2022-11-04
